chunk_size,window_size_sec,mode,pop_mean_hr,pop_std_hr,avg_within_std,n_subjects
160,3,non_overlapping,72.735,22.583,7.108,59
160,3,overlapping,72.748,22.647,5.947,59
160,4,non_overlapping,72.425,22.61,5.946,59
160,4,overlapping,72.425,22.61,5.946,59
160,5,non_overlapping,72.198,22.518,5.244,59
160,5,overlapping,72.198,22.518,5.244,59
320,3,non_overlapping,72.606,22.613,4.56,59
320,3,overlapping,72.549,22.526,4.515,59
320,4,non_overlapping,72.828,22.623,4.688,59
320,4,overlapping,72.575,22.565,4.31,59
320,5,non_overlapping,72.556,22.533,4.327,59
320,5,overlapping,72.653,22.518,4.534,59
480,3,non_overlapping,73.339,22.318,3.94,59
480,3,overlapping,73.15,22.447,3.549,59
480,4,non_overlapping,73.188,22.229,3.563,59
480,4,overlapping,73.232,22.261,3.553,59
480,5,non_overlapping,73.073,22.372,3.586,59
480,5,overlapping,73.246,22.302,3.729,59
1920,3,non_overlapping,73.444,22.15,0.0,59
1920,3,overlapping,73.242,22.247,0.0,59
1920,4,non_overlapping,73.206,22.213,0.0,59
1920,4,overlapping,73.226,22.158,0.0,59
1920,5,non_overlapping,73.579,22.116,0.0,59
1920,5,overlapping,73.339,22.129,0.0,59
