subject,signal_length,signal_length_sec,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total
1001,160,5.3,3,non_overlapping,81.93111236589498,0.0,1,1
1001,160,5.3,3,overlapping,81.93111236589498,0.0,2,2
1001,160,5.3,4,non_overlapping,82.6651609260305,0.0,1,1
1001,160,5.3,4,overlapping,82.6651609260305,0.0,1,1
1001,160,5.3,5,non_overlapping,83.88763410502541,0.0,1,1
1001,160,5.3,5,overlapping,83.88763410502541,0.0,1,1
1001,320,10.7,3,non_overlapping,92.38555875855648,9.599360639569518,3,3
1001,320,10.7,3,overlapping,89.29288388956581,8.322872135361973,6,6
1001,320,10.7,4,non_overlapping,87.75363309459419,5.088472168563705,2,2
1001,320,10.7,4,overlapping,91.10374751107017,6.493807905120374,4,4
1001,320,10.7,5,non_overlapping,87.08906653986746,3.2014324348420473,2,2
1001,320,10.7,5,overlapping,90.36872248379278,5.32400845018316,3,3
1001,480,16.0,3,non_overlapping,86.49915632295496,10.549619774682565,5,5
1001,480,16.0,3,overlapping,85.24259613313771,9.023020625523763,9,9
1001,480,16.0,4,non_overlapping,83.47367801915857,5.94784857144121,4,4
1001,480,16.0,4,overlapping,86.22169483562095,7.645697683665158,7,7
1001,480,16.0,5,non_overlapping,85.31105431563098,3.6270421414206333,3,3
1001,480,16.0,5,overlapping,86.2129321043999,6.646374401086752,5,5
1001,1920,64.0,3,non_overlapping,83.6652692651385,6.102583387686814,21,21
1001,1920,64.0,3,overlapping,83.9076852277723,6.135880229222984,41,41
1001,1920,64.0,4,non_overlapping,83.31113371992234,4.888265327573923,16,16
1001,1920,64.0,4,overlapping,84.73367699818206,5.781814612032017,31,31
1001,1920,64.0,5,non_overlapping,85.48158439577206,4.033833518105445,12,12
1001,1920,64.0,5,overlapping,84.74598305534683,4.410432966818429,24,24
1002,160,5.3,3,non_overlapping,92.36842105263159,0.0,1,1
1002,160,5.3,3,overlapping,99.08400809716599,6.715587044534409,2,2
1002,160,5.3,4,non_overlapping,91.89473684210527,0.0,1,1
1002,160,5.3,4,overlapping,91.89473684210527,0.0,1,1
1002,160,5.3,5,non_overlapping,93.45864661654136,0.0,1,1
1002,160,5.3,5,overlapping,93.45864661654136,0.0,1,1
1002,320,10.7,3,non_overlapping,97.06914344685242,3.7219651770962208,3,3
1002,320,10.7,3,overlapping,99.77206874652695,4.140028482754124,6,6
1002,320,10.7,4,non_overlapping,95.56037151702787,3.6656346749226003,2,2
1002,320,10.7,4,overlapping,96.999742002064,3.540733097130561,4,4
1002,320,10.7,5,non_overlapping,97.1937195931004,3.7350729765590387,2,2
1002,320,10.7,5,overlapping,97.43181483119564,3.068206660513867,3,3
1002,480,16.0,3,non_overlapping,95.99705145215981,4.149935765723972,5,5
1002,480,16.0,3,overlapping,97.25193136183847,5.592969439244291,9,9
1002,480,16.0,4,non_overlapping,95.10249889429457,4.1469136208669095,4,4
1002,480,16.0,4,overlapping,95.53577220361831,4.105355656100423,7,7
1002,480,16.0,5,non_overlapping,95.36951622754366,3.9944898628775554,3,3
1002,480,16.0,5,overlapping,96.56801668035635,3.4368580128421296,5,5
1002,1920,64.0,3,non_overlapping,98.2406748255089,8.067330072794046,21,21
1002,1920,64.0,3,overlapping,98.02981758689367,7.752496160493358,41,41
1002,1920,64.0,4,non_overlapping,97.32314263337955,7.121667558478107,16,16
1002,1920,64.0,4,overlapping,97.8487663947653,7.181277041629155,31,31
1002,1920,64.0,5,non_overlapping,97.59998852533177,5.305364901258058,12,12
1002,1920,64.0,5,overlapping,97.40289397258105,5.943752915700469,24,24
1003,160,5.3,3,non_overlapping,81.81818181818183,0.0,1,1
1003,160,5.3,3,overlapping,83.18181818181819,1.3636363636363598,2,2
1003,160,5.3,4,non_overlapping,83.86363636363637,0.0,1,1
1003,160,5.3,4,overlapping,83.86363636363637,0.0,1,1
1003,160,5.3,5,non_overlapping,83.18181818181819,0.0,1,1
1003,160,5.3,5,overlapping,83.18181818181819,0.0,1,1
1003,320,10.7,3,non_overlapping,79.64502164502166,4.026690808044436,3,3
1003,320,10.7,3,overlapping,79.06018779931823,4.857099685655851,6,6
1003,320,10.7,4,non_overlapping,80.80371259175607,3.0599237718802996,2,2
1003,320,10.7,4,overlapping,82.17296019198193,7.548468348381861,4,4
1003,320,10.7,5,non_overlapping,78.81699604743083,4.364822134387353,2,2
1003,320,10.7,5,overlapping,79.9119706380576,3.885750062917283,3,3
1003,480,16.0,3,non_overlapping,77.30585356672313,5.089812823975959,5,5
1003,480,16.0,3,overlapping,77.43948107716224,5.051336721136994,9,9
1003,480,16.0,4,non_overlapping,77.00089011230315,4.85498233869799,4,4
1003,480,16.0,4,overlapping,78.59331334641892,7.2461724801625715,7,7
1003,480,16.0,5,non_overlapping,77.77944664031621,3.8541059128717543,3,3
1003,480,16.0,5,overlapping,77.51471861471862,4.353719384242271,5,5
1003,1920,64.0,3,non_overlapping,74.47828264105209,6.756696190386634,21,21
1003,1920,64.0,3,overlapping,74.13125094950932,5.904131996927467,41,41
1003,1920,64.0,4,non_overlapping,73.62453073798181,3.8801133847626774,16,16
1003,1920,64.0,4,overlapping,74.16090938070354,5.867136400966089,31,31
1003,1920,64.0,5,non_overlapping,74.72962514183742,5.373090509612718,12,12
1003,1920,64.0,5,overlapping,74.2480053123915,4.9067762715776855,24,24
1004,160,5.3,3,non_overlapping,85.71428571428572,0.0,1,1
1004,160,5.3,3,overlapping,84.41558441558442,1.2987012987013031,2,2
1004,160,5.3,4,non_overlapping,84.15584415584416,0.0,1,1
1004,160,5.3,4,overlapping,84.15584415584416,0.0,1,1
1004,160,5.3,5,non_overlapping,83.76623376623377,0.0,1,1
1004,160,5.3,5,overlapping,83.76623376623377,0.0,1,1
1004,320,10.7,3,non_overlapping,84.57742257742258,10.965340413345519,3,3
1004,320,10.7,3,overlapping,84.0238167629472,9.853329283722532,6,6
1004,320,10.7,4,non_overlapping,80.1863136863137,3.9695304695304685,2,2
1004,320,10.7,4,overlapping,78.83867219736786,4.365414301110644,4,4
1004,320,10.7,5,non_overlapping,79.21409894453373,4.552134821700044,2,2
1004,320,10.7,5,overlapping,79.42758111453765,3.7290441443407296,3,3
1004,480,16.0,3,non_overlapping,82.28305028305029,9.455974189188371,5,5
1004,480,16.0,3,overlapping,82.12206794815489,8.794878748707527,9,9
1004,480,16.0,4,non_overlapping,79.05002063154237,4.348590983475172,4,4
1004,480,16.0,4,overlapping,78.84939718666428,4.150818805476057,7,7
1004,480,16.0,5,non_overlapping,79.41040939736592,3.727156629980163,3,3
1004,480,16.0,5,overlapping,79.49414874980093,2.8926780751580843,5,5
1004,1920,64.0,3,non_overlapping,76.10604619770835,6.5465955396732465,21,21
1004,1920,64.0,3,overlapping,76.61897729224395,6.7514717077157815,41,41
1004,1920,64.0,4,non_overlapping,75.14954097834533,3.295473702887216,16,16
1004,1920,64.0,4,overlapping,75.28095406789772,3.6793628098028117,31,31
1004,1920,64.0,5,non_overlapping,76.02286487752576,4.208493317723036,12,12
1004,1920,64.0,5,overlapping,75.80651175704973,3.99453737923845,24,24
1005,160,5.3,3,non_overlapping,90.0,0.0,1,1
1005,160,5.3,3,overlapping,88.04347826086956,1.9565217391304373,2,2
1005,160,5.3,4,non_overlapping,87.65217391304347,0.0,1,1
1005,160,5.3,4,overlapping,87.65217391304347,0.0,1,1
1005,160,5.3,5,non_overlapping,84.5819397993311,0.0,1,1
1005,160,5.3,5,overlapping,84.5819397993311,0.0,1,1
1005,320,10.7,3,non_overlapping,79.44258639910812,7.628563049805797,3,3
1005,320,10.7,3,overlapping,79.11092530657747,6.54723325558555,6,6
1005,320,10.7,4,non_overlapping,80.90802675585283,6.744147157190632,2,2
1005,320,10.7,4,overlapping,78.57796822742475,5.31644096190203,4,4
1005,320,10.7,5,non_overlapping,80.44314381270902,4.138795986622071,2,2
1005,320,10.7,5,overlapping,78.2943143812709,4.544743190040046,3,3
1005,480,16.0,3,non_overlapping,76.50211872085934,7.276484235617106,5,5
1005,480,16.0,3,overlapping,77.87066265402098,6.4590934928737775,9,9
1005,480,16.0,4,non_overlapping,76.81049310509579,6.448133262164755,4,4
1005,480,16.0,4,overlapping,76.32126028822323,4.941561698236839,7,7
1005,480,16.0,5,non_overlapping,78.11375521030693,4.719306870143915,3,3
1005,480,16.0,5,overlapping,76.41121241577014,4.209376365831052,5,5
1005,1920,64.0,3,non_overlapping,75.04367109057621,5.942897583703834,21,21
1005,1920,64.0,3,overlapping,75.57369401765496,7.234714437675621,41,41
1005,1920,64.0,4,non_overlapping,75.70250075386882,6.309504415765141,16,16
1005,1920,64.0,4,overlapping,75.29185186230214,6.331814950571791,31,31
1005,1920,64.0,5,non_overlapping,75.93360646100525,5.390316564223552,12,12
1005,1920,64.0,5,overlapping,75.29588835181976,5.654026527773608,24,24
1006,160,5.3,3,non_overlapping,79.44664031620555,0.0,1,1
1006,160,5.3,3,overlapping,78.90316205533597,0.543478260869577,2,2
1006,160,5.3,4,non_overlapping,78.33498023715416,0.0,1,1
1006,160,5.3,4,overlapping,78.33498023715416,0.0,1,1
1006,160,5.3,5,non_overlapping,78.3201581027668,0.0,1,1
1006,160,5.3,5,overlapping,78.3201581027668,0.0,1,1
1006,320,10.7,3,non_overlapping,77.96442687747036,1.3997713676466312,3,3
1006,320,10.7,3,overlapping,78.05500658761528,1.2885114900059524,6,6
1006,320,10.7,4,non_overlapping,78.33498023715416,1.0048591735576161e-14,2,2
1006,320,10.7,4,overlapping,77.70503952569169,0.7040513833992119,4,4
1006,320,10.7,5,non_overlapping,77.63833992094861,0.681818181818187,2,2
1006,320,10.7,5,overlapping,77.68115942028986,0.5599860484151139,3,3
1006,480,16.0,3,non_overlapping,80.77978543195935,5.0411753781128175,5,5
1006,480,16.0,3,overlapping,79.7535918188092,4.0030285829856735,9,9
1006,480,16.0,4,non_overlapping,78.72988424618859,0.3953125275975785,4,4
1006,480,16.0,4,overlapping,78.58332661127692,1.2851877423821105,7,7
1006,480,16.0,5,non_overlapping,78.65518539431582,1.5420333293371726,3,3
1006,480,16.0,5,overlapping,78.56634669678147,1.271273225385638,5,5
1006,1920,64.0,3,non_overlapping,79.51871420504963,4.742074229020412,21,21
1006,1920,64.0,3,overlapping,78.5446054475747,3.8781749422133336,41,41
1006,1920,64.0,4,non_overlapping,78.42511550949051,2.9413941287113468,16,16
1006,1920,64.0,4,overlapping,78.29218040024493,2.891914500649925,31,31
1006,1920,64.0,5,non_overlapping,77.6791849454893,2.128296486164963,12,12
1006,1920,64.0,5,overlapping,77.77612170438256,1.7894700216642345,24,24
101,160,5.3,3,non_overlapping,76.63043478260869,0.0,1,1
101,160,5.3,3,overlapping,76.63043478260869,0.0,2,2
101,160,5.3,4,non_overlapping,76.63043478260869,0.0,1,1
101,160,5.3,4,overlapping,76.63043478260869,0.0,1,1
101,160,5.3,5,non_overlapping,74.63768115942028,0.0,1,1
101,160,5.3,5,overlapping,74.63768115942028,0.0,1,1
101,320,10.7,3,non_overlapping,67.68907213060136,6.391773517433574,3,3
