subject,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total,signal_group
1001,3,non_overlapping,83.6652692651385,6.102583387686814,21,21,10
1001,3,overlapping,83.9076852277723,6.135880229222984,41,41,10
1001,4,non_overlapping,83.31113371992234,4.888265327573923,16,16,10
1001,4,overlapping,84.73367699818206,5.781814612032017,31,31,10
1001,5,non_overlapping,85.48158439577206,4.033833518105445,12,12,10
1001,5,overlapping,84.74598305534683,4.410432966818429,24,24,10
1002,3,non_overlapping,98.2406748255089,8.067330072794046,21,21,10
1002,3,overlapping,98.02981758689367,7.752496160493358,41,41,10
1002,4,non_overlapping,97.32314263337955,7.121667558478107,16,16,10
1002,4,overlapping,97.8487663947653,7.181277041629155,31,31,10
1002,5,non_overlapping,97.59998852533177,5.305364901258058,12,12,10
1002,5,overlapping,97.40289397258105,5.943752915700469,24,24,10
1003,3,non_overlapping,74.34561548260398,6.400738735992607,24,24,10
1003,3,overlapping,74.09061492405482,5.507285682571621,48,48,10
1003,4,non_overlapping,73.70447882766723,3.743586139453643,18,18,10
1003,4,overlapping,74.0777563219752,5.486936841558849,36,36,10
1003,5,non_overlapping,74.38912924245405,5.04522380873819,14,14,10
1003,5,overlapping,74.10531367913538,4.588478229170939,28,28,10
1004,3,non_overlapping,76.5068157093027,7.1470651144256605,24,24,10
1004,3,overlapping,77.05899470291723,7.064377590945978,48,48,10
1004,4,non_overlapping,75.06778393372596,3.2130522185704544,18,18,10
1004,4,overlapping,75.50262909875329,3.822244590173964,36,36,10
1004,5,non_overlapping,75.92350325731196,3.946352719160885,14,14,10
1004,5,overlapping,76.01018202974252,3.9272881180452623,28,28,10
1005,3,non_overlapping,75.04367109057621,5.942897583703834,21,21,10
1005,3,overlapping,75.57369401765496,7.234714437675621,41,41,10
1005,4,non_overlapping,75.70250075386882,6.309504415765141,16,16,10
1005,4,overlapping,75.29185186230214,6.331814950571791,31,31,10
1005,5,non_overlapping,75.93360646100525,5.390316564223552,12,12,10
1005,5,overlapping,75.29588835181976,5.654026527773608,24,24,10
1006,3,non_overlapping,79.51871420504963,4.742074229020412,21,21,10
1006,3,overlapping,78.5446054475747,3.8781749422133336,41,41,10
1006,4,non_overlapping,78.42511550949051,2.9413941287113468,16,16,10
1006,4,overlapping,78.29218040024493,2.891914500649925,31,31,10
1006,5,non_overlapping,77.6791849454893,2.128296486164963,12,12,10
1006,5,overlapping,77.77612170438256,1.7894700216642345,24,24,10
101,3,non_overlapping,67.9413558566482,4.168535482304611,21,21,1
101,3,overlapping,67.994211287589,4.22596972747424,41,41,1
101,4,non_overlapping,68.01858038575618,3.590453726876872,16,16,1
101,4,overlapping,67.7543316643162,3.448842038291475,31,31,1
101,5,non_overlapping,67.93237422455938,3.6796801577040044,12,12,1
101,5,overlapping,67.79453096670113,3.197285391790587,24,24,1
102,3,non_overlapping,81.66983005492322,18.72414412039154,21,21,1
102,3,overlapping,79.66837411734018,16.13771549808774,41,41,1
102,4,non_overlapping,78.64058737156563,13.426189998294323,16,16,1
102,4,overlapping,78.3998213373038,12.669579175528126,31,31,1
102,5,non_overlapping,80.89095877954573,12.881523218916398,12,12,1
102,5,overlapping,79.25144978238922,11.780041619912085,24,24,1
103,3,non_overlapping,86.92396802058262,18.580583975783302,26,26,1
103,3,overlapping,85.45004738665563,17.064789970658595,52,52,1
103,4,non_overlapping,87.17694526364735,14.69676317577089,20,20,1
103,4,overlapping,85.70054219049375,13.647406309296203,39,39,1
103,5,non_overlapping,86.63419112392201,12.443073249713601,16,16,1
103,5,overlapping,86.78129667967363,13.674593599359984,31,31,1
104,3,non_overlapping,78.09128963288663,11.03978035014486,26,26,1
104,3,overlapping,77.68466996121678,10.681689667342217,52,52,1
104,4,non_overlapping,77.9817209179709,11.39881763175998,20,20,1
104,4,overlapping,77.88001221186839,10.844275151239582,39,39,1
104,5,non_overlapping,77.26966615811725,9.265611529827087,16,16,1
104,5,overlapping,77.97956495236835,9.146849596985414,31,31,1
105,3,non_overlapping,73.31440188460456,10.712164144259418,21,21,1
105,3,overlapping,74.04316786915304,11.476828068348262,41,41,1
105,4,non_overlapping,75.66113091368257,13.873839172398467,16,16,1
105,4,overlapping,74.87032696202124,11.934061708732514,31,31,1
105,5,non_overlapping,75.99698099719637,12.459951156285827,12,12,1
105,5,overlapping,74.58969249025954,10.626907347784332,24,24,1
106,3,non_overlapping,71.41607070178497,9.006352231533059,21,21,1
106,3,overlapping,72.4663296212794,11.174750814405046,41,41,1
106,4,non_overlapping,72.73498774509804,8.775694423468194,16,16,1
106,4,overlapping,72.6844128883977,8.816907245373766,31,31,1
106,5,non_overlapping,73.2811914936915,7.473621535157134,12,12,1
106,5,overlapping,73.34570509827863,8.554560928860974,24,24,1
